Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2018,19,,NZ Dollars (millions),12,51.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2020,31,,NZ Dollars (millions),12,43.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2022,25,P,NZ Dollars (millions),12,51.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2016,25,,NZ Dollars (millions),3 and 12,29.9
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2018,36,,NZ Dollars (millions),3 and 12,58.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2020,31,,NZ Dollars (millions),3 and 12,43.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2022,48,P,NZ Dollars (millions),3 and 12,34.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2016,877,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2018,960,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2020,1202,R,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2022,1254,P,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,37,,NZ Dollars (millions),12,81.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2018,40,,NZ Dollars (millions),12,36.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2020,70,,NZ Dollars (millions),12,25.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2022,66,P,NZ Dollars (millions),12,19
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2016,32,,NZ Dollars (millions),3 and 12,134.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2018,6,,NZ Dollars (millions),3 and 12,72.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2020,63,,NZ Dollars (millions),3 and 12,4.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2022,32,P,NZ Dollars (millions),3 and 12,7.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2016,5,,NZ Dollars (millions),3 and 12,58.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2018,26,,NZ Dollars (millions),3 and 12,149.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2020,21,,NZ Dollars (millions),12,21.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2022,17,P,NZ Dollars (millions),12,59.4
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2016,96,,NZ Dollars (millions),12,23.8
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2018,98,,NZ Dollars (millions),12,49.8
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2019,98,,NZ Dollars (millions),12,30.2
