Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2022,1032,,NZ Dollars (millions),12,11.9
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2016,212,,NZ Dollars (millions),4 and 12,24.9
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2018,428,,NZ Dollars (millions),4 and 12,45.3
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2019,517,,NZ Dollars (millions),4 and 12,17.5
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2020,505,,NZ Dollars (millions),4 and 12,11.7
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2021,645,,NZ Dollars (millions),4 and 12,11.2
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2022,663,,NZ Dollars (millions),4 and 12,17.5
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2016,589,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2018,762,,NZ Dollars (millions),3 and 12,8.1
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2020,715,R,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2022,800,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2016,69,,NZ Dollars (millions),3 and 12,34.2
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2018,66,,NZ Dollars (millions),3 and 12,36.4
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2020,86,,NZ Dollars (millions),3 and 12,28.8
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2022,100,,NZ Dollars (millions),3 and 12,20.3
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2016,877,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2018,960,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2020,1202,R,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2022,1254,P,NZ Dollars (millions),3 and 12,0
